FrameIndex,Timestamp,FrameTime_ms,FPS
312,0.955993,3.000000,326.693390
313,0.958902,3.000000,326.693390
314,0.962129,3.000000,326.693390
315,0.964922,3.000000,326.693390
316,0.968729,3.000000,326.693390
317,0.971537,3.000000,326.693390
318,0.974712,3.000000,326.693390
319,0.977557,3.000000,326.693390
320,0.980763,4.000000,326.693390
321,0.983541,2.000000,326.693390
322,0.986426,3.000000,326.693390
323,0.989614,3.000000,326.693390
324,0.992505,3.000000,326.693390
325,0.995655,3.000000,326.693390
326,0.998466,3.000000,326.693390
327,1.002193,4.000000,326.693390
328,1.005037,3.000000,326.693390
329,1.007811,3.000000,326.693390
330,1.011024,3.000000,326.693390
331,1.014913,4.000000,326.693390
332,1.019373,4.000000,326.693390
333,1.022178,3.000000,326.693390
334,1.024615,2.000000,326.693390
335,1.027100,3.000000,326.693390
336,1.029831,3.000000,326.693390
337,1.032735,2.000000,326.693390
338,1.035630,3.000000,326.693390
339,1.038904,4.000000,326.693390
340,1.041653,2.000000,326.693390
341,1.044841,4.000000,326.693390
342,1.047658,2.000000,326.693390
343,1.051198,4.000000,326.693390
344,1.055509,4.000000,326.693390
345,1.058821,4.000000,326.693390
346,1.061277,2.000000,326.693390
347,1.064570,3.000000,326.693390
348,1.067060,3.000000,326.693390
349,1.069859,3.000000,326.693390
350,1.072528,2.000000,326.693390
351,1.075813,3.000000,326.693390
352,1.078434,3.000000,326.693390
353,1.081393,3.000000,326.693390
354,1.084789,3.000000,326.693390
355,1.087894,4.000000,326.693390
356,1.090553,2.000000,326.693390
357,1.093717,3.000000,326.693390
358,1.096583,3.000000,326.693390
359,1.100128,4.000000,326.693390
360,1.102955,3.000000,326.693390
361,1.106083,3.000000,326.693390
362,1.108904,3.000000,326.693390
363,1.112179,3.000000,326.693390
364,1.114977,3.000000,326.693390
365,1.117806,3.000000,326.693390
366,1.120985,3.000000,326.693390
367,1.123806,3.000000,326.693390
368,1.127024,3.000000,326.693390
369,1.130074,3.000000,326.693390
370,1.133629,3.000000,326.693390
371,1.136422,3.000000,326.693390
372,1.139271,3.000000,326.693390
373,1.142638,3.000000,326.693390
374,1.145392,3.000000,326.693390
375,1.148633,3.000000,326.693390
376,1.151435,3.000000,326.693390
377,1.154809,4.000000,326.693390
378,1.157952,3.000000,326.693390
379,1.161134,3.000000,326.693390
380,1.164244,3.000000,326.693390
381,1.167439,3.000000,326.693390
382,1.170277,3.000000,326.693390
383,1.173287,3.000000,326.693390
384,1.176346,3.000000,326.693390
385,1.179113,3.000000,326.693390
386,1.182350,3.000000,326.693390
