FrameIndex,Timestamp,FrameTime_ms,FPS,RenderMode
78,0.250613,3.000000,328.031921,Standard
79,0.253844,4.000000,328.031921,Standard
80,0.256538,3.000000,328.031921,Standard
81,0.261600,3.000000,328.031921,Standard
82,0.266448,6.000000,328.031921,Standard
83,0.269494,3.000000,328.031921,Standard
84,0.272511,4.000000,328.031921,Standard
85,0.275733,3.000000,328.031921,Standard
86,0.278897,3.000000,328.031921,Standard
87,0.281862,3.000000,328.031921,Standard
88,0.284586,3.000000,328.031921,Standard
89,0.287250,2.000000,328.031921,Standard
90,0.290052,3.000000,328.031921,Standard
91,0.292927,3.000000,328.031921,Standard
92,0.296447,3.000000,328.031921,Standard
93,0.299384,3.000000,328.031921,Standard
94,0.302218,3.000000,328.031921,Standard
95,0.304985,3.000000,328.031921,Standard
96,0.307904,3.000000,328.031921,Standard
97,0.310604,3.000000,328.031921,Standard
98,0.313464,2.000000,328.031921,Standard
99,0.316109,3.000000,328.031921,Standard
100,0.318918,3.000000,328.031921,Standard
101,0.321610,3.000000,328.031921,Standard
102,0.324432,2.000000,328.031921,Standard
103,0.327480,3.000000,328.031921,Standard
104,0.330174,3.000000,328.031921,Standard
105,0.332864,3.000000,328.031921,Standard
106,0.335647,3.000000,328.031921,Standard
107,0.338439,2.000000,328.031921,Standard
108,0.341253,3.000000,328.031921,Standard
109,0.343979,3.000000,328.031921,Standard
110,0.346790,3.000000,328.031921,Standard
111,0.349567,3.000000,328.031921,Standard
112,0.352206,2.000000,328.031921,Standard
113,0.354983,3.000000,328.031921,Standard
114,0.357639,3.000000,328.031921,Standard
115,0.360355,2.000000,328.031921,Standard
116,0.363123,3.000000,328.031921,Standard
117,0.365679,3.000000,328.031921,Standard
118,0.368502,2.000000,328.031921,Standard
119,0.371622,4.000000,328.031921,Standard
120,0.374421,2.000000,328.031921,Standard
121,0.377084,3.000000,328.031921,Standard
122,0.379776,3.000000,328.031921,Standard
123,0.382545,3.000000,328.031921,Standard
124,0.385480,2.000000,328.031921,Standard
125,0.388308,3.000000,328.031921,Standard
126,0.391275,3.000000,328.031921,Standard
127,0.394045,3.000000,328.031921,Standard
128,0.396855,3.000000,328.031921,Standard
129,0.399574,2.000000,328.031921,Standard
130,0.402384,3.000000,328.031921,Standard
131,0.405045,3.000000,328.031921,Standard
132,0.407623,3.000000,328.031921,Standard
133,0.410405,2.000000,328.031921,Standard
134,0.413363,3.000000,328.031921,Standard
135,0.416226,3.000000,328.031921,Standard
136,0.419010,3.000000,328.031921,Standard
137,0.421728,3.000000,328.031921,Standard
138,0.424804,3.000000,328.031921,Standard
139,0.427420,2.000000,328.031921,Standard
140,0.430356,3.000000,328.031921,Standard
141,0.433657,4.000000,328.031921,Standard
142,0.436370,2.000000,328.031921,Standard
143,0.439481,3.000000,328.031921,Standard
144,0.442180,3.000000,328.031921,Standard
145,0.445094,3.000000,328.031921,Standard
146,0.447994,3.000000,328.031921,Standard
147,0.450691,3.000000,328.031921,Standard
148,0.453688,3.000000,328.031921,Standard
149,0.456303,2.000000,328.031921,Standard
150,0.459388,3.000000,328.031921,Standard
151,0.462143,3.000000,328.031921,Standard
152,0.465832,4.000000,328.031921,Standard
153,0.468603,3.000000,328.031921,Standard
154,0.471493,2.000000,328.031921,Standard
155,0.474455,3.000000,328.031921,Standard
156,0.477171,3.000000,328.031921,Standard
157,0.482708,6.000000,328.031921,Standard
158,0.487053,4.000000,328.031921,Standard
159,0.490465,3.000000,328.031921,Standard
160,0.493686,4.000000,328.031921,Standard
161,0.497090,3.000000,328.031921,Standard
162,0.500152,3.000000,328.031921,Standard
163,0.503001,3.000000,328.031921,Standard
164,0.505644,3.000000,328.031921,Standard
165,0.508547,3.000000,328.031921,Standard
166,0.511696,3.000000,328.031921,Standard
167,0.515054,3.000000,328.031921,Standard
168,0.518159,3.000000,328.031921,Standard
169,0.521090,3.000000,328.031921,Standard
170,0.523820,3.000000,328.031921,Standard
171,0.526576,3.000000,328.031921,Standard
172,0.529720,3.000000,328.031921,Standard
173,0.532425,2.000000,328.031921,Standard
174,0.535150,3.000000,328.031921,Standard
175,0.537992,3.000000,328.031921,Standard
176,0.540919,3.000000,328.031921,Standard
177,0.543975,3.000000,328.031921,Standard
178,0.546719,3.000000,328.031921,Standard
179,0.549672,3.000000,328.031921,Standard
180,0.552378,2.000000,328.031921,Standard
181,0.555100,3.000000,328.031921,Standard
182,0.558290,3.000000,328.031921,Standard
