Model,TotalMs,ParseMs,NodeBuildMs,PrimitiveBuildMs,MaterialSetupMs,AnimationLoadMs,NodeCount,MeshCount,PrimitiveCount,VertexCount,IndexCount
sponza_palace.glb,1423.33,1154.74,1.6189,264.818,98.7785,0.0004,211,103,103,192489,786798
makoto.glb,615.464,540.319,1.8114,71.1267,33.6379,0.0004,418,14,14,32698,130794
model_1.glb,224.153,190.174,0.0313,33.058,26.6401,0.0004,1,1,9,9295,38400
suksuk.glb,977.29,775.063,0.7103,200.238,187.306,0.0004,1,1,9,18652,85632
sponza_palace.glb,1413.75,1201.21,0.5149,210.272,78.858,0.0003,211,103,103,192489,786798
makoto.glb,611.129,534.336,1.8064,72.9866,32.96,0.0002,418,14,14,32698,130794
model_1.glb,239.655,208.579,0.0265,30.0603,24.3014,0.0003,1,1,9,9295,38400
suksuk.glb,966.506,765.881,1.0571,198.282,186.505,0.0004,1,1,9,18652,85632
sponza_palace.glb,1251.65,1050.29,0.6683,198.913,74.7409,0.0003,211,103,103,192489,786798
makoto.glb,548.061,481.455,1.7372,62.6535,29.3018,0.0005,418,14,14,32698,130794
model_1.glb,222.076,188.963,0.0298,32.0849,26.1955,0.0003,1,1,9,9295,38400
suksuk.glb,984.029,789.651,0.3806,192.303,181.117,0.0003,1,1,9,18652,85632
sponza_palace.glb,1270.67,1058.63,0.6498,209.826,81.6648,0.0003,211,103,103,192489,786798
makoto.glb,559.242,489.306,1.7284,66.5835,33.2652,0.0003,418,14,14,32698,130794
model_1.glb,211.852,180.553,0.0282,30.3921,25.0091,0.0003,1,1,9,9295,38400
suksuk.glb,970.06,787.809,1.0164,180.185,168.635,0.0005,1,1,9,18652,85632
sponza_palace.glb,1261.79,1046.81,0.6188,212.928,85.9626,0.0003,211,103,103,192489,786798
makoto.glb,608.841,525.553,1.8762,79.1665,33.8135,0.0003,418,14,14,32698,130794
model_1.glb,233.92,201.747,0.0314,31.1265,25.3773,0.0003,1,1,9,9295,38400
suksuk.glb,970.089,771.876,0.0545,196.88,183.832,0.0005,1,1,9,18652,85632
sponza_palace.glb,1529.87,1264.17,0.6878,263.199,91.6445,0.0004,211,103,103,192489,786798
makoto.glb,617.4,542.638,1.6992,71.0957,31.9586,0.0003,418,14,14,32698,130794
model_1.glb,231.725,197.616,0.0577,32.9623,26.5325,0.0003,1,1,9,9295,38400
suksuk.glb,963.319,780.732,0.0478,181.57,170.186,0.0003,1,1,9,18652,85632
sponza_palace.glb,1267.71,1054.88,0.6848,210.682,82.2231,0.0004,211,103,103,192489,786798
makoto.glb,558.029,490.488,1.7106,63.9329,30.3315,0.0005,418,14,14,32698,130794
model_1.glb,226.16,193.937,0.0262,31.3168,25.5068,0.0004,1,1,9,9295,38400
suksuk.glb,994.968,813.305,1.4401,178.683,166.557,0.0003,1,1,9,18652,85632
sponza_palace.glb,1255.59,1042.88,0.6249,210.399,80.1474,0.0003,211,103,103,192489,786798
makoto.glb,547.505,477.759,1.7608,65.6265,30.8404,0.0004,418,14,14,32698,130794
model_1.glb,231.675,195.215,0.0514,35.2619,28.9526,0.0002,1,1,9,9295,38400
