Model,TotalMs,ParseMs,NodeBuildMs,PrimitiveBuildMs,MaterialSetupMs,AnimationLoadMs,NodeCount,MeshCount,PrimitiveCount,VertexCount,IndexCount
porsche_911_gt3.glb,272.533,208.51,1.4944,60.4621,18.4539,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,494.247,391.067,0.0557,101.89,80.4313,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,248.406,191.212,1.1502,54.296,16.5029,0.0004,4901,1630,1630,184649,707163
sponza_palace.glb,501.738,381.632,0.0663,118.724,93.9063,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,217.305,163.01,1.1327,51.5261,15.2623,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,477.479,366.993,0.0528,109.207,84.3457,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,244.462,193.553,1.2734,47.8331,14.0971,0.0002,4901,1630,1630,184649,707163
sponza_palace.glb,484.27,367.865,0.0495,115.257,88.6509,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,260.504,197.992,1.3155,59.5248,17.0701,0.0002,4901,1630,1630,184649,707163
sponza_palace.glb,467.845,363.574,0.0663,102.95,79.825,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,327.402,263.196,1.2302,61.1786,17.6369,0.0002,4901,1630,1630,184649,707163
sponza_palace.glb,550.902,400.431,0.0697,148.965,112.502,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,243.366,186.124,1.2019,53.9199,16.5752,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,482,369.682,0.0523,110.948,86.2736,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,256.889,194.365,1.5245,59.1565,18.4534,0.0089,4901,1630,1630,184649,707163
sponza_palace.glb,489.069,373.507,0.064,114.217,88.999,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,262.385,205.994,1.3313,53.3509,18.0573,0.0002,4901,1630,1630,184649,707163
sponza_palace.glb,687.697,558.323,0.2834,127.621,95.5591,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,266.101,205.025,1.1522,57.6584,18.2666,0.0002,4901,1630,1630,184649,707163
sponza_palace.glb,468.524,363.462,0.0633,103.89,80.1873,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,297.585,232.717,1.5684,61.2034,18.0094,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,481.158,370.249,0.0521,109.554,84.0839,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,252.452,193.661,1.1642,55.1509,16.2482,0.0003,4901,1630,1630,184649,707163
sponza_palace.glb,516.109,397.03,0.0655,117.966,91.8145,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,244.095,183.793,1.4785,56.9441,19.0576,0.0002,4901,1630,1630,184649,707163
sponza_palace.glb,467.613,360.983,0.0641,105.146,81.8168,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,231.226,176.247,1.3838,52.0874,15.6797,0.0002,4901,1630,1630,184649,707163
sponza_palace.glb,482.585,368.899,0.0607,112.336,88.463,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,228.937,173,1.2094,52.5087,16.4557,0.0091,4901,1630,1630,184649,707163
sponza_palace.glb,468.912,361.684,0.0624,106.061,82.0018,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,236.026,178.815,1.264,53.731,15.5646,0.0075,4901,1630,1630,184649,707163
sponza_palace.glb,500.488,385.7,0.0806,113.499,87.6775,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,247.614,186.491,1.7635,57.7581,18.7099,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,512.137,393.553,0.0477,117.108,92.4501,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,244.757,185.286,1.2321,56.1788,16.8287,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,487.177,368.338,0.055,117.323,91.6555,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,210.428,159.494,1.1428,48.2189,14.8564,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,468.263,358.674,0.0697,108.445,84.5882,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,232.973,180.726,1.0867,49.6785,15.315,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,470.969,361.823,0.0897,107.918,84.4485,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,2589.5,2380.68,13.9545,188.27,22.2334,0.0005,4901,1630,1630,184649,707163
sponza_palace.glb,1537.63,1269.02,0.8477,265.163,122.085,0.0005,211,103,103,192489,786798
porsche_911_gt3.glb,267.721,200.808,1.8015,63.0065,18.7089,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,499.879,390.486,0.0513,108.214,84.5813,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,230.011,173.875,1.1121,52.3917,15.9686,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,464.06,352.097,0.0535,109.976,86.6719,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,212.778,161.979,1.1655,47.3498,14.0705,0.0002,4901,1630,1630,184649,707163
sponza_palace.glb,480.866,368.344,0.0643,110.43,85.4323,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,267.67,185.981,1.7288,77.741,21.4202,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,685.367,571.523,0.0768,112.181,87.009,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,306.05,228.111,1.1116,74.2659,21.3884,0.0002,4901,1630,1630,184649,707163
sponza_palace.glb,560.481,410.204,0.0422,149.06,110.902,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,294.252,224.862,1.5092,65.4685,19.7802,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,521.265,396.64,0.0696,123.308,94.7959,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,233.924,174.508,1.1381,56.1749,15.2171,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,533.4,411.933,0.0313,120.1,91.731,0.0005,211,103,103,192489,786798
porsche_911_gt3.glb,265.897,203.102,1.4676,59.7201,16.8507,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,472.645,368.169,0.0621,103.4,80.0504,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,245.757,185.693,1.1228,57.0788,16.5624,0.0005,4901,1630,1630,184649,707163
sponza_palace.glb,494.015,386.131,0.0551,106.35,82.2279,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,272.232,206.729,1.2959,62.0617,18.2362,0.0002,4901,1630,1630,184649,707163
sponza_palace.glb,489.723,378.942,0.0534,109.6,86.5829,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,235.519,177.249,1.4619,54.9076,17.4312,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,468.806,364.471,0.0727,103.09,80.4051,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,247.271,191.156,1.1699,53.3367,16.0413,0.0002,4901,1630,1630,184649,707163
sponza_palace.glb,501.19,384.618,0.0653,115.215,90.1266,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,236.969,180.477,1.376,53.4579,16.1505,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,476.788,369.216,0.0816,105.883,82.8512,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,244.158,192.518,1.1504,48.7318,15.2503,0.0002,4901,1630,1630,184649,707163
sponza_palace.glb,519.776,406.81,0.0529,111.44,88.0247,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,291.31,214.296,1.1912,73.4132,22.4169,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,541.435,400.85,0.0704,139.206,110.592,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,231.932,179.29,1.1111,49.7877,15.6702,0.0002,4901,1630,1630,184649,707163
sponza_palace.glb,469.541,366.217,0.0638,101.85,79.3001,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,277.436,216.441,0.8676,58.2466,16.4759,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,509.182,398.076,0.0519,109.776,85.1738,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,247.748,194.446,1.3854,50.3421,14.6529,0.0002,4901,1630,1630,184649,707163
sponza_palace.glb,500.31,391.986,0.0746,106.909,82.5583,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,272.497,201.941,1.5787,66.3615,18.9247,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,497.309,393.123,0.0755,103.017,80.0666,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,241.454,183.334,1.3626,54.3608,16.4102,0.0002,4901,1630,1630,184649,707163
sponza_palace.glb,635.033,526.624,0.082,106.987,82.4901,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,259.382,201.252,0.8662,55.6621,17.731,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,490.788,367.602,0.0722,121.972,93.6621,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,262.15,200.254,1.3043,58.9667,18.8628,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,487.028,374.54,0.0776,111.216,85.4659,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,241.156,179.095,1.6047,58.5181,17.5838,0.0002,4901,1630,1630,184649,707163
sponza_palace.glb,741.105,606.557,0.0784,132.909,103.199,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,270.533,210.351,1.1189,57.1202,16.6248,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,511.371,386.07,0.0537,124.156,96.1349,0.0003,211,103,103,192489,786798
porsche_911_gt3.glb,270.098,205.67,1.2716,58.1417,18.4653,0.0002,4901,1630,1630,184649,707163
sponza_palace.glb,729.672,594.942,0.069,133.564,101.561,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,237.419,185.196,1.4645,49.06,15.0086,0.0041,4901,1630,1630,184649,707163
sponza_palace.glb,479.399,376.28,0.0598,101.874,78.6305,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,211.562,160.228,1.1642,48.3635,15.139,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,462.56,355.644,0.0691,105.63,81.8101,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,227.693,169.09,1.1544,55.6309,16.0248,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,474.157,366.334,0.0773,106.598,82.7616,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,367.912,278.083,1.555,86.51,33.8542,0.0002,4901,1630,1630,184649,707163
sponza_palace.glb,792.046,621.888,0.0505,168.438,135.387,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,301.333,210.779,9.3825,76.0809,22.1743,0.0002,4901,1630,1630,184649,707163
sponza_palace.glb,810.96,683.25,0.0528,126.146,95.6131,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,257.826,191.848,1.0523,62.752,16.9227,0.0002,4901,1630,1630,184649,707163
sponza_palace.glb,503.759,392.127,0.0542,110.326,86.2328,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,312.532,238.405,1.0597,70.6826,21.1103,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,493.613,385.605,0.0703,106.809,83.2078,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,269.825,209.514,1.3553,56.7333,17.9145,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,514.847,392.689,0.0651,120.847,92.2474,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,297.082,224,1.5952,67.9761,18.2814,0.0003,4901,1630,1630,184649,707163
sponza_palace.glb,512.735,397.811,0.058,113.661,88.8487,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,270.529,196.311,0.909,69.0452,19.4949,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,796.419,649.404,0.0328,145.379,104.643,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,3607,3308.38,21.9296,268.628,26.7624,0.0095,4901,1630,1630,184649,707163
sponza_palace.glb,2427.21,2070.52,1.103,354.242,135.854,0.0004,211,103,103,192489,786798
porsche_911_gt3.glb,3570.79,3264.93,20.8685,276.961,29.6656,0.0009,4901,1630,1630,184649,707163
sponza_palace.glb,1854.26,1560.7,1.2656,290.447,119.757,0.0004,211,103,103,192489,786798
porsche_911_gt3.glb,254.376,194.175,1.1915,56.5684,15.6778,0.0002,4901,1630,1630,184649,707163
sponza_palace.glb,470.437,365.442,0.0805,103.839,80.6841,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,3867.06,3451.39,36.1485,367.558,36.4934,0.0008,4901,1630,1630,184649,707163
sponza_palace.glb,2498.79,2117.43,1.3967,378.393,147.452,0.0004,211,103,103,192489,786798
porsche_911_gt3.glb,280.468,218.758,1.4615,58.7059,17.5674,0.0002,4901,1630,1630,184649,707163
sponza_palace.glb,485.105,378.234,0.0633,105.618,83.1382,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,3537.07,3248.64,20.9319,259.111,25.709,0.0004,4901,1630,1630,184649,707163
sponza_palace.glb,2058.79,1786.05,0.8731,270.297,111.536,0.0004,211,103,103,192489,786798
porsche_911_gt3.glb,271.858,208.18,1.1066,60.4686,19.3947,0.0002,4901,1630,1630,184649,707163
sponza_palace.glb,456.963,355.588,0.0338,100.338,78.4257,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,292.367,221.04,1.3751,67.8168,19.5757,0.0084,4901,1630,1630,184649,707163
sponza_palace.glb,487.962,382.712,0.0644,104.067,80.5506,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,3768.13,3400.34,22.6606,327.436,25.3497,0.0081,4901,1630,1630,184649,707163
sponza_palace.glb,830.02,659.967,0.8463,166.263,120.514,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,235.238,178.889,1.1845,52.7848,17.0115,0.0049,4901,1630,1630,184649,707163
sponza_palace.glb,474.025,369.737,0.0511,103.196,81.2414,0.0001,211,103,103,192489,786798
porsche_911_gt3.glb,4488.25,4125.15,28.9498,311.234,29.138,0.0075,4901,1630,1630,184649,707163
sponza_palace.glb,980.493,790.87,0.6551,186.801,135.921,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,259.357,198.696,1.2746,57.6842,19.8339,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,768.962,657.298,0.0709,110.345,85.6988,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,3756.88,3411.79,21.8559,302.553,23.4519,0.0003,4901,1630,1630,184649,707163
sponza_palace.glb,990.341,849.881,0.4772,137.93,101.244,0.0002,211,103,103,192489,786798
porsche_911_gt3.glb,247.781,192.408,1.3674,52.0959,15.577,0.0001,4901,1630,1630,184649,707163
sponza_palace.glb,693.241,585.413,0.0624,106.429,83.9504,0.0002,211,103,103,192489,786798
